순위,제목,작가,장르,,제목,작가,장르
22,여수의 사랑,한강,소설/시/희곡/에세이,,언젠가 우리가 같은 별을 바라본다면,차인표,청소년
15,디 에센셜: 한강(무선 보급판),한강,소설/시/희곡/에세이,,일의 감각,조수용,자기계발
27,검은 사슴,한강,소설/시/희곡/에세이,,성적을 부탁해 티처스,정승제,가정 살림
23,나는 왜 남들보다 쉽게 지칠까,최재훈,인문,,주아쌤의 툭 치면 탁 나오는 영어회화 (특별부록 한정판),이정은,국어 외국어 사전
28,who? 스페셜 아이브,조약돌,어린이(초등),,나의 인생만사 답사기,유홍준,소설/시/희곡/에세이
24,머니 트렌드 2025,정태익,경제/경영,,세이노의 가르침,세이노(SayNo),자기계발
17,급류,정대건,소설/시/희곡/에세이,,부모의 어휘력,김종원,가정 살림
20,시대예보: 호명사회,송길영,경제/경영,,너에게 들려주는 단단한 말,김종원,청소년
30,린치핀,세스 고딘,자기계발,,천 번을 흔들리며 아이는 어른이 됩니다,김붕년,가정 살림
19,작은 땅의 야수들(리커버 무선판),김주혜,소설/시/희곡/에세이,,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,국어 외국어 사전
26,원피스 109: 네 편,EIICHIRO ODA,만화,,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,국어 외국어 사전
